Title,imdbRating,imdbVotes,Metascore,Runtime,Year,Genre1,Genre2,Rated,Director,Actors1,Actors2,Country,Writer,Awards,Released,imdbID,Plot,Poster
Electrick Children,6.9,4578,60,96,2012,Drama,Drama,R,Rebecca Thomas,Julia Garner,Liam Aiken,USA,Rebecca Thomas,4 wins & 6 nominations.,13-Jul-12,tt2139843,"Rachel, a teenager born and raised in her Mormon community, believes that she has been inpregnated by listening to music and must get to Vegas to find the ""father"" of her miracle baby.",N/A
Confessions of a Sociopathic Social Climber,4.9,2372,N/A,96,2005,Comedy,Romance,R,Dana Lustig,Jennifer Love Hewitt,Colin Ferguson,USA,"Adele Lang (novel), Eric C. Charmelo (teleplay), Nicole Snyder (teleplay)",N/A,12-Mar-05,tt0420560,A 28-year-old ad sales exec stops at nothing to climb her way to the top of the San Francisco social ladder.,http://ia.media-imdb.com/images/M/MV5BMjE1NjU1NTUwMF5BMl5BanBnXkFtZTcwOTY2MTIzMQ@@._V1_SX300.jpg
Cornered,6.7,1307,N/A,102,1945,Drama,Film-Noir,APPROVED,Edward Dmytryk,Dick Powell,Walter Slezak,USA,"John Paxton (screenplay), John Wexley (story and adaptation)",N/A,25-Dec-45,tt0037615,Canadian flyer Laurence Gerard finds that his wife has been murdered by a French collaborator. His quest for justice leads him to Switzerland and Argentina.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NDU4NzExNF5BMl5BanBnXkFtZTYwNjg5Mjc4._V1._CR4,13,207,310_SX89_AL_.jpg_V1_SX300.jpg"
Meet Monica Velour,5.8,1834,51,98,2010,Comedy,Drama,R,Keith Bearden,Kim Cattrall,Dustin Ingram,USA,Keith Bearden,1 nomination.,1-Apr-10,tt1291549,"When an awkward teen meets his favorite porn star, whose career peaked in the '80s, an unexpected friendship follows as the young man gets a glimpse inside Monica Velour's current life as a single mom struggling to make ends meet.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyNzQ4MTkyN15BMl5BanBnXkFtZTcwMjI1MDM1NA@@._V1_SX300.jpg
Now Is Good,7.2,27232,N/A,103,2012,Drama,Romance,PG-13,Ol Parker,Dakota Fanning,Jeremy Irvine,UK,"Jenny Downham (based on the book ""Before I Die"" by), Ol Parker",4 wins & 1 nomination.,19-Sep-12,tt1937264,A girl dying of leukemia compiles a list of things she'd like to do before passing away. Topping the list is her desire to lose her virginity.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MTA3MDczNF5BMl5BanBnXkFtZTcwNjU0MTA1Nw@@._V1_SX300.jpg
Gidget,6.7,2334,N/A,95,1959,Comedy,Comedy,NOT RATED,Paul Wendkos,Sandra Dee,James Darren,USA,"Gabrielle Upton (screenplay), Frederick Kohner (novel)",1 nomination.,10-Apr-59,tt0052847,A young girl discovers surfing and love (in that order) during one transitive summer.,http://ia.media-imdb.com/images/M/MV5BMTQ4NzY0NTUxMl5BMl5BanBnXkFtZTcwMzkwNjEyMQ@@._V1_SX300.jpg
Kung Pow: Enter the Fist,6.2,38310,14,81,2002,Action,Comedy,PG-13,Steve Oedekerk,Steve Oedekerk,Fei Lung,USA,Steve Oedekerk,N/A,25-Jan-02,tt0240468,A rough-around-the-edges martial arts master seeks revenge for his parent's death.,https://images-na.ssl-images-amazon.com/images/M/MV5BMGQxZDEwZDctMjNkMi00YmIxLTgyN2MtYmJhYjEzZGY0NjljXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Silent Hill,6.6,174674,30,125,2006,Adventure,Horror,R,Christophe Gans,Radha Mitchell,Sean Bean,Canada,Roger Avary,8 nominations.,21-Apr-06,tt0384537,"A woman goes in search for her daughter within the confines of a strange, desolate town called Silent Hill.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NzQ3NTgxNV5BMl5BanBnXkFtZTcwMTMwOTIzMQ@@._V1_SX300.jpg
Notting Hill,7,206356,66,124,1999,Comedy,Drama,PG-13,Roger Michell,Julia Roberts,Hugh Grant,UK,Richard Curtis,Nominated for 3 Golden Globes. Another 12 wins & 14 nominations.,28-May-99,tt0125439,The life of a simple bookshop owner changes when he meets the most famous film star in the world.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4MDg5MTE1N15BMl5BanBnXkFtZTgwNDA4NjQxMTE@._V1_SX300.jpg
Meeting Evil,5.3,10055,N/A,89,2012,Crime,Drama,R,Chris Fisher,Luke Wilson,Samuel L. Jackson,USA,"Thomas Berger (novel), Chris Fisher",N/A,30-Mar-12,tt1810697,"John is taken on a murder-fueled ride by a mysterious stranger that transforms the weak-willed, disillusioned husband and father into a desperate hero willing to go to any length to protect his family.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4ODYyMzkwNl5BMl5BanBnXkFtZTcwODc2MzA1Nw@@._V1_SX300.jpg
Insomnia,7.2,222030,78,118,2002,Drama,Mystery,R,Christopher Nolan,Al Pacino,Martin Donovan,USA,"Hillary Seitz (screenplay), Nikolaj Frobenius, Erik SkjoldbjÌ_rg",1 win & 10 nominations.,24-May-02,tt0278504,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5Nzk2NDY3MF5BMl5BanBnXkFtZTgwMzI5MDgxMTE@._V1_SX300.jpg
Z for Zachariah,6,18346,68,98,2015,Drama,Sci-Fi,PG-13,Craig Zobel,Chiwetel Ejiofor,Margot Robbie,Iceland,"Nissar Modi (screenplay), Robert C. O'Brien (novel)",3 nominations.,28-Aug-15,tt1598642,"In the wake of a disaster that wipes out most of civilization, two men and a young woman find themselves in an emotionally charged love triangle as the last known survivors.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMTUwODUzNV5BMl5BanBnXkFtZTgwMDIxMDE5NTE@._V1_SX300.jpg
Fled,5.3,7121,N/A,98,1996,Action,Adventure,R,Kevin Hooks,Laurence Fishburne,Stephen Baldwin,USA,Preston A. Whitmore II,N/A,19-Jul-96,tt0116320,Two prisoners chained together flee during an escape attempt gone bad.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjY0NjM4N15BMl5BanBnXkFtZTcwOTg3NjczNA@@._V1_SX300.jpg
Gigi,6.9,14744,N/A,115,1958,Comedy,Musical,APPROVED,Vincente Minnelli,Leslie Caron,Maurice Chevalier,USA,"Alan Jay Lerner (screen play), Colette (based on the novella by)",Won 9 Oscars. Another 12 wins & 9 nominations.,4-Aug-58,tt0051658,"Weary of the conventions of Parisian society, a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship, but it may not stay platonic for long.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjEzMTU0MDEyNF5BMl5BanBnXkFtZTYwNDM4OTY5._V1_SX300.jpg
Lilies of the Field,7.7,6708,N/A,94,1963,Drama,Drama,UNRATED,Ralph Nelson,Sidney Poitier,Lilia Skala,USA,"James Poe (screenplay), William E. Barrett (novel)",Won 1 Oscar. Another 10 wins & 13 nominations.,5-Jul-63,tt0057251,A traveling handyman becomes the answer to the prayers of nuns who wish to build a chapel in the desert.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNTU5NzI4MF5BMl5BanBnXkFtZTcwMjc1NDk0NA@@._V1_SX300.jpg
Confessions of a Superhero,7.2,1929,N/A,92,2007,Documentary,Documentary,R,Matthew Ogens,Christopher Dennis,Maxwell Allen,USA,N/A,1 nomination.,2-Nov-07,tt1016164,Chronicles the lives of four mortal men and women who work as characters on the sidewalks of Hollywood Boulevard.,http://ia.media-imdb.com/images/M/MV5BMjAyMTEwNzg4M15BMl5BanBnXkFtZTcwMzQ1MzU2MQ@@._V1_SX300.jpg
"Like Sunday, Like Rain",6.9,3092,43,104,2014,Drama,Music,R,Frank Whaley,Julian Shatkin,Olga Merediz,USA,Frank Whaley,N/A,6-Oct-14,tt3104818,"Surrounded by wealth and living with abundant resources in Manhattan, 12-year-old cello prodigy Reggie, lives a solitary life lacking only frequently absent parents and friends. Estranged from family, having slacker boyfriend troubles, and fired from her waitressing job, sometimes musician 23-year-old Eleanor needs a new place to live and a new job.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTExNjIyNDEzMzVeQTJeQWpwZ15BbWU4MDEwNjUyMTUx._V1_SX300.jpg
Unknown,6.9,212255,56,113,2011,Action,Mystery,PG-13,Jaume Collet-Serra,Liam Neeson,Diane Kruger,UK,"Oliver Butcher (screenplay), Stephen Cornwell (screenplay), Didier Van Cauwelaert (novel)",3 nominations.,18-Feb-11,tt1401152,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",https://images-na.ssl-images-amazon.com/images/M/MV5BODA4NTk3MTQwN15BMl5BanBnXkFtZTcwNjUwMTMxNA@@._V1_SX300.jpg
Undercover Blues,6,6195,N/A,90,1993,Comedy,Crime,PG-13,Herbert Ross,Kathleen Turner,Dennis Quaid,USA,Ian Abrams,N/A,10-Sep-93,tt0108442,"A wise-cracking husband and wife team of ex-Spies arrive in New Orleans on maternity leave with their baby girl. There they are hassled by muggers, the police and their FBI boss, who wants ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwNDA5MzQ0MV5BMl5BanBnXkFtZTcwNjAxODM5NA@@._V1_SX300.jpg
Open Windows,5.2,10711,47,100,2014,Crime,Thriller,N/A,Nacho Vigalondo,Elijah Wood,Sasha Grey,Spain,Nacho Vigalondo,2 wins & 5 nominations.,2-Oct-14,tt2409818,A jilted fan soon finds himself pulled into a deadly game of cat-and-mouse after he accepts the opportunity to spy on his favorite actress via his laptop.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTA1OTU4MDQ3NV5BMl5BanBnXkFtZTgwMzY2Nzk5MjE@._V1_SX300.jpg
Kiss Me Kate,7.2,4319,N/A,109,1953,Comedy,Musical,APPROVED,George Sidney,Kathryn Grayson,Howard Keel,USA,"Dorothy Kingsley (screenplay), Sam Spewack (book), Bella Spewack (book)",Nominated for 1 Oscar. Another 1 nomination.,26-Nov-53,tt0045963,"Fred and Lilly are a divorced pair of actors who are brought together by Cole Porter who has written a musical version of The Taming of the Shrew. Of course, the couple seem to act a great ...","https://images-na.ssl-images-amazon.com/images/M/MV5BODk2ODUyOTczOV5BMl5BanBnXkFtZTcwNjMyODEyMQ@@._V1._CR0,49,262,423_SX89_AL_.jpg_V1_SX300.jpg"
Will,7,2586,N/A,102,2011,Drama,Family,N/A,Ellen Perry,Damian Lewis,Bob Hoskins,UK,"Zack Anderson (screenplay), Ellen Perry",N/A,4-Nov-11,tt1636844,An orphan journeys across Europe to the 2005 Champions League Final in Istanbul.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDQ1MjUyOTE0M15BMl5BanBnXkFtZTcwMDU0MzE1Nw@@._V1_SX300.jpg
Inside Out,8.2,367651,94,95,2015,Animation,Adventure,PG,Pete Docter,Amy Poehler,Phyllis Smith,USA,"Pete Docter (original story by), Ronnie Del Carmen (original story by), Pete Docter (screenplay), Meg LeFauve (screenplay), Josh Cooley (screenplay), Michael Arndt (additional story material by), Bill Hader (additional dialogue by), Amy Poehler (additional dialogue by), Simon Rich (additional story material by)",Won 1 Oscar. Another 91 wins & 95 nominations.,19-Jun-15,tt2096673,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg
Yogi Bear,4.6,16536,35,80,2010,Animation,Adventure,PG,Eric Brevig,Dan Aykroyd,Justin Timberlake,USA,"Jennifer Ventimilia, Joshua Sternin, Brad Copeland, Joseph Barbera (characters), William Hanna (characters)",2 wins & 1 nomination.,17-Dec-10,tt1302067,"A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo, and Ranger Smith.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMjU1NTQ0M15BMl5BanBnXkFtZTcwMjIxMTA3Mw@@._V1_SX300.jpg
Barbie in the 12 Dancing Princesses,6.5,1818,N/A,83,2006,Animation,Family,N/A,Greg Richardson,Kelly Sheridan,Catherine O'Hara,USA,"Elana Lesser, Cliff Ruby",3 nominations.,19-Sep-06,tt0859594,"King Randolph sends for his cousin Duchess Rowena to help turn his daughters, Princess Genevieve and her 11 sisters, into better ladies. But the Duchess takes away all the sisters fun, ...",N/A
Now You See It,6.9,72,N/A,10,1947,Documentary,Short,APPROVED,Richard L. Cassell,Pete Smith,Pete Smith,USA,N/A,N/A,20-Mar-47,tt0039671,"This Pete Smith Specialty demonstrates the uses of micro- and macrophotography. We see extreme closeups of the mechanical workings of a tiny wristwatch, the surface of a cat's tongue, and several insects.",N/A
Fletch Lives,6,15468,N/A,95,1989,Comedy,Mystery,PG,Michael Ritchie,Chevy Chase,Hal Holbrook,USA,"Gregory McDonald (character), Leon Capetanos",N/A,17-Mar-89,tt0097366,"After receiving an inheritance in Louisiana, LA reporter Irvin Fletcher heads to the Belle Isle plantation where he gets himself into hilarious trouble.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNzQ1ODU3OV5BMl5BanBnXkFtZTcwNjE0MjAyMQ@@._V1_SX300.jpg
Operation Rogue,4.3,426,N/A,88,2014,Action,Crime,R,Brian Clyde,Mark Dacascos,Sofia Pernas,USA,Mike MacLean,N/A,17-Sep-14,tt3560658,"Deep in the jungles of Southeast Asia, a terrorist organization has stolen materials to create a dangerous chemical bomb.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMjQzNzgxNF5BMl5BanBnXkFtZTgwNDk2NzA4MjE@._V1_SX300.jpg
Revenge of the Creature,5.5,3814,N/A,82,1955,Horror,Sci-Fi,APPROVED,Jack Arnold,John Agar,Lori Nelson,USA,"Martin Berkeley (screenplay), William Alland (story)",N/A,22-Jul-55,tt0048554,"Men capture the creature from the Black Lagoon and make him an aquarium attraction, from which he escapes.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxMDU3MjM0N15BMl5BanBnXkFtZTgwNTMzNTQ1MjE@._V1_SX300.jpg
Open Season,6.2,66343,49,83,2006,Animation,Adventure,PG,Roger Allers,Martin Lawrence,Ashton Kutcher,USA,"Steve Bencich (screenplay), Ron J. Friedman (screenplay), Nat Mauldin (screenplay), Jill Culton (screen story by), Anthony Stacchi (screen story by), Steve Moore (from an original story by), John B. Carls (from an original story by), Sam Harper (additional story material), Dan Wilson (additional story material), David Gilbreth (additional story material)",1 win & 9 nominations.,29-Sep-06,tt0400717,"Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwOTg2MjU0OV5BMl5BanBnXkFtZTcwMzIzNTQzMQ@@._V1_SX300.jpg
Willow Creek,5.1,7177,62,80,2013,Horror,Mystery,UNRATED,Bobcat Goldthwait,Alexie Gilmore,Bryce Johnson,USA,Bobcat Goldthwait,1 nomination.,2-May-14,tt2885364,From celebrated Director Bobcat Goldthwait comes this edge of your seat horror that will make you think twice before going into the woods.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MjMzNDczM15BMl5BanBnXkFtZTgwMjMwMjM5MTE@._V1_SX300.jpg
15 Minutes,6.1,42763,34,120,2001,Action,Crime,R,John Herzfeld,Robert De Niro,Edward Burns,USA,John Herzfeld,1 nomination.,9-Mar-01,tt0179626,A homicide detective and a fire marshall must stop a pair of murderers who commit videotaped crimes to become media darlings.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3MzQ1MzIwNl5BMl5BanBnXkFtZTYwMTAxODc5._V1_SX300.jpg
Insignificance,6.7,2375,N/A,110,1985,Drama,Comedy,R,Nicolas Roeg,Michael Emil,Theresa Russell,UK,Terry Johnson (screenplay),1 win & 1 nomination.,2-Aug-85,tt0089343,Four 1950s icons meet in the same hotel room and two of them discover more in common between them than they ever anticipated.,http://ia.media-imdb.com/images/M/MV5BMTkwNjQ1MDAwOF5BMl5BanBnXkFtZTcwMjM1ODg3NA@@._V1_SX300.jpg
1492: Conquest of Paradise,6.5,22887,N/A,154,1992,Adventure,Biography,PG-13,Ridley Scott,GÌ©rard Depardieu,Armand Assante,France,Rose Bosch (scenario),Nominated for 1 Golden Globe. Another 1 nomination.,9-Oct-92,tt0103594,Christopher Columbus' discovery of the Americas and the effect this has on the indigenous people.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNzQ3MzQ4NF5BMl5BanBnXkFtZTcwMDgzMTQyMQ@@._V1_SX300.jpg
Zapped,5.5,2161,N/A,102,2014,Comedy,Family,TV-G,Peter DeLuise,Zendaya,Chanelle Peloso,Canada,"Leslie Margolis (based on the novel ""Boys Are Dogs"" by), Billy Eddy (teleplay), Matt Eddy (teleplay), Rachelle Skoretz (television story by)",5 wins & 2 nominations.,23-Jun-14,tt3544734,"When 16-year-old Zoey's mom remarries, Zoey finds it hard adjusting to her new life - no longer the only kid in the family.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNjE0MDU2OV5BMl5BanBnXkFtZTgwMTQ5NjMxMjE@._V1_SX300.jpg
Visit to a Small Planet,6.1,820,N/A,85,1960,Comedy,Sci-Fi,N/A,Norman Taurog,Jerry Lewis,Joan Blackman,USA,"Edmund Beloin (screenplay), Henry Garson (screenplay), Gore Vidal (play)",N/A,4-Feb-60,tt0054446,The weirdest alien of the galaxy pays a visit to Earth...,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNzc0NTEzMF5BMl5BanBnXkFtZTgwMTg4Nzk1MDE@._V1_SX300.jpg
Private Romeo,5.9,1615,53,94,2011,Drama,Romance,N/A,Alan Brown,Hale Appleman,Charlie Barnett,USA,"Alan Brown, William Shakespeare (adapted from the play ""Romeo and Juliet"")",1 win.,20-Jun-11,tt1500512,Shakespeare's original lines from Romeo & Juliet are almost exclusively spoken in a military academy setting of his tale at which gay love blooms between two cadets.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4OTgyMjcyMV5BMl5BanBnXkFtZTcwODY3Mjc0NQ@@._V1_SX300.jpg
Eddie,5.1,7204,N/A,100,1996,Comedy,Sport,PG-13,Steve Rash,Whoopi Goldberg,Frank Langella,USA,"Steve Zacharias (story), Jeff Buhai (story), Jon Connolly (story), David Loucka (story), Jon Connolly (screenplay), David Loucka (screenplay), Eric Champnella (screenplay), Keith Mitchell (screenplay), Steve Zacharias (screenplay), Jeff Buhai (screenplay)",1 win & 2 nominations.,31-May-96,tt0116168,"Eddie is a New York limo driver and a fanatical follower of the New York Knicks professional basketball team. The team is struggling with a mediocre record when, in mid-season, ""Wild Bill"" ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MDE4NzIyMl5BMl5BanBnXkFtZTYwMTgxNTg5._V1_SX300.jpg
Sniper,6.1,19425,N/A,98,1993,Action,Drama,R,Luis Llosa,Tom Berenger,Billy Zane,USA,"Michael Frost Beckner, Crash Leyland",N/A,29-Jan-93,tt0108171,Tough guy Thomas Beckett is a US Marine working in the Panamanian jungle. His job is to seek out rebels and remove them using his sniper skills. Beckett is notorious for losing his partners...,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5NTMyNTI5Nl5BMl5BanBnXkFtZTcwNjIxNzIyMQ@@._V1_SX300.jpg
Date Night,6.3,129202,56,88,2010,Comedy,Crime,PG-13,Shawn Levy,Steve Carell,Tina Fey,USA,Josh Klausner,4 wins & 8 nominations.,9-Apr-10,tt1279935,"In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.",https://images-na.ssl-images-amazon.com/images/M/MV5BODgwMjM2ODE4M15BMl5BanBnXkFtZTcwMTU2MDcyMw@@._V1_SX300.jpg
Confession of a Child of the Century,4.2,440,N/A,120,2012,Drama,Drama,N/A,Sylvie Verheyde,Charlotte Gainsbourg,Pete Doherty,France,"Alfred de Musset (novel), Sylvie Verheyde (adaptation)",1 nomination.,29-Aug-12,tt1865335,"Paris, 1830: Octave, betrayed by his mistress, sinks into despair and debauchery. His father's death leads him to the country where he meets Brigitte, a widow who is ten years his elder. ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NDYyNjY2OV5BMl5BanBnXkFtZTcwNTM1MTE4Nw@@._V1_SX300.jpg
Open Water 2: Adrift,5.1,13493,N/A,94,2006,Adventure,Drama,R,Hans Horn,Susan May Pratt,Richard Speight Jr.,Germany,"Adam Kreutner, Collin McMahon (additional dialogue), David Mitchell, Richard Speight Jr. (additional dialogue)",N/A,10-Aug-06,tt0470055,"When a group of friends fail to lower the ladder of their boat, they find themselves stranded in the surrounding waters and struggle to survive.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5ODA5NDgxMl5BMl5BanBnXkFtZTcwMzA1MjM0MQ@@._V1_SX300.jpg
Please Give,6.6,9868,78,90,2010,Comedy,Drama,R,Nicole Holofcener,Rebecca Hall,Elizabeth Keener,USA,Nicole Holofcener,5 wins & 16 nominations.,18-Jun-10,tt0878835,"In New York City, a husband and wife butt heads with the granddaughters of the elderly woman who lives in the apartment the couple owns.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTczOTAxOTMyM15BMl5BanBnXkFtZTcwMTgyNTIyMw@@._V1_SX300.jpg
Darling Companion,5.1,2579,41,103,2012,Comedy,Drama,PG-13,Lawrence Kasdan,Diane Keaton,Kevin Kline,USA,"Meg Kasdan, Lawrence Kasdan",N/A,24-May-12,tt1730687,The story of a woman who loves her dog more than her husband. And then her husband loses the dog.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NTQ3MDExMl5BMl5BanBnXkFtZTcwNjU1MTc2Nw@@._V1_SX300.jpg
Kiss of Death,5.9,14353,N/A,101,1995,Action,Crime,R,Barbet Schroeder,David Caruso,Samuel L. Jackson,USA,"Eleazar Lipsky (story), Ben Hecht, Charles Lederer, Richard Price (screenplay)",1 nomination.,21-Apr-95,tt0113552,A reformed convict goes undercover with the help of an angry detective to ensnare a psychotic mobster.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTY2MTMyMjM0OV5BMl5BanBnXkFtZTcwNzQ0OTUyMQ@@._V1_SX300.jpg
Lassie,5.9,3850,N/A,94,1994,Family,Adventure,PG,Daniel Petrie,Tom Guiry,Helen Slater,USA,"Eric Knight (character of Lassie), Matthew Jacobs, Gary Ross, Elizabeth Anderson",1 win & 1 nomination.,22-Jul-94,tt0110305,"The dog everyone loves now leaps into the '90s in this all-new exciting, updated version of Lassie! Determined to start a new life in the country, the Turner Family - Dad, stepmom, little ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNDg4NjMwMV5BMl5BanBnXkFtZTcwOTgzNTYxMQ@@._V1_SX300.jpg
Elegy,6.8,19463,66,112,2008,Drama,Romance,R,Isabel Coixet,PenÌ©lope Cruz,Ben Kingsley,USA,"Nicholas Meyer (screenplay), Philip Roth (novel)",3 wins & 5 nominations.,29-Aug-08,tt0974554,"Cultural critic David Kepesh finds his life -- which he indicates is a state of ""emancipated manhood"" -- thrown into tragic disarray by Consuela Castillo, a well-mannered student who awakens a sense of sexual possessiveness in her teacher.",http://ia.media-imdb.com/images/M/MV5BMTIxOTQ4OTEwN15BMl5BanBnXkFtZTcwNzI5ODc3MQ@@._V1_SX300.jpg
Barbie as the Princess and the Pauper,6.7,2775,N/A,85,2004,Animation,Comedy,NOT RATED,William Lau,Kelly Sheridan,Melissa Lyons,USA,"Cliff Ruby, Elana Lesser",1 nomination.,28-Sep-04,tt0426955,"In her first animated musical featuring seven original songs, Barbie comes to life in this modern re-telling of a classic tale of mistaken identity and the power of friendship. Based on the...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMzQ1NTg4NF5BMl5BanBnXkFtZTcwMDQwNDYyMQ@@._V1_SX300.jpg
Angel and the Badman,7,3883,N/A,100,1947,Romance,Western,APPROVED,James Edward Grant,John Wayne,Gail Russell,USA,James Edward Grant,N/A,15-Feb-47,tt0039152,"Quirt Evans, an all round bad guy, is nursed back to health and sought after by Penelope Worth, a Quaker girl. He eventually finds himself having to choose between his world and the world Penelope lives in.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMTAyNDc3N15BMl5BanBnXkFtZTcwNTQ5MDEzMQ@@._V1_SX300.jpg
The Alamo,6,16947,47,137,2004,Drama,History,PG-13,John Lee Hancock,Dennis Quaid,Billy Bob Thornton,USA,"Leslie Bohem, Stephen Gaghan, John Lee Hancock",1 nomination.,9-Apr-04,tt0318974,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzOTQ5Nzg4MzheQTJeQWpwZ15BbWU2MDQwODAxNw@@._V1_SX300.jpg
Barbie as the Island Princess,6.3,1492,N/A,86,2007,Animation,Family,N/A,Greg Richardson,Kelly Sheridan,Melissa Lyons,USA,"Elana Lesser, Cliff Ruby",N/A,18-Sep-07,tt1092053,"Barbie plays Rosella in this new musical film. Shipwrecked as a child, Rosella grows up on the island under the watchful eyes of her loving animal friends. The arrival of Prince Antonio ...",N/A
Eating Raoul,6.8,5116,N/A,90,1982,Comedy,Crime,R,Paul Bartel,Paul Bartel,Mary Woronov,USA,"Paul Bartel, Richard Blackburn",2 nominations.,24-Mar-82,tt0083869,"A relatively boring Los Angeles couple discover a bizarre, if not murderous way to get funding for opening a restaurant.",https://images-na.ssl-images-amazon.com/images/M/MV5BYjIzZTZlMjgtMzYzMS00MDQzLThkMDYtMzUxNjdmNGU5NjEzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Zipper,5.7,4306,39,103,2015,Drama,Thriller,R,Mora Stephens,Patrick Wilson,Lena Headey,USA,"Mora Stephens, Mora Stephens, Joel Viertel, Joel Viertel",N/A,28-Aug-15,tt3346224,A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxODgzMDcwNV5BMl5BanBnXkFtZTgwODIyODIzNjE@._V1_SX300.jpg
Meet the Patels,7.1,2173,70,88,2014,Documentary,Comedy,PG,Geeta Patel,Ravi Patel,Geeta Patel,USA,"Matthew Hamachek, Billy McMillin, Geeta Patel, Ravi Patel",3 wins & 3 nominations.,11-Sep-15,tt2378401,An Indian-American man who is about to turn 30 gets help from his parents and extended family to start looking for a wife in the traditional Indian way.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNzM3NjE4M15BMl5BanBnXkFtZTgwMDg3NjMzNjE@._V1_SX300.jpg
Ghosts of Mississippi,6.7,8559,N/A,130,1996,Drama,History,PG-13,Rob Reiner,Alec Baldwin,James Woods,USA,Lewis Colick,Nominated for 2 Oscars. Another 2 wins & 7 nominations.,3-Jan-97,tt0116410,A Mississippi district attorney and the widow of Medgar Evers struggle to finally bring a white racist to justice for the 1963 murder of the civil rights leader.,http://ia.media-imdb.com/images/M/MV5BNDA1MDk0OTExN15BMl5BanBnXkFtZTcwNTA2MzMyMQ@@._V1_SX300.jpg
