,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2,Words,DiversityW,Verb/Noun,Zipf,WordL,imdbRating
American Reunion,0.849603089,0.941850163,0.25921799,0.286527328,0.719954124,0.142500702,0.40958653,0.845291752,0.10490971,0.925126824,0.997366307,0.099989236,0.764970027,0.264415749,0.309542658,0.915394457,0.631918323,0.994500535,0.864663631,0.465437077,0.837587432,0.349039022,0.946598857,0.047796724,0.716083311,0.273641012,0.024921274,0.29327754,0.756059816,0.47574668,R,English,USA,"Jon Hurwitz, Hayden Schlossberg",2012,Comedy,113,"173,413",Jason Biggs, Alyson Hannigan,13129,0.135730063,0.914991625,0.930792018,3.163302613,6.7
White Lightning,0.166021329,0.389410486,0.02910429,0.857944417,0.470187957,0.344142138,0.220868791,0.776551562,0.28810136,0.610033919,0.952539909,0.0086523,0.323231892,0.022087855,0.574629062,0.479843446,0.871319692,0.602339643,0.315273424,0.754132734,0.894144241,0.829612726,0.852559232,0.09679341,0.431177161,0.108018429,0.205456253,0.037548485,0.813594652,0.152086517,PG,English,USA,Joseph Sargent,1973,"Action, Drama, Crime",101,"2,572",Burt Reynolds, Jennifer Billingsley,10284,0.150038895,0.960148778,0.924913674,3.119797744,6.4
Fantastic Four: Rise of the Silver Surfer,0.675012995,0.799198759,0.2192583,0.467396122,0.542328751,0.285110182,0.280800205,0.646159069,0.188637209,0.825561258,0.976823886,0.070921939,0.689836684,0.179772864,0.37949026,0.858622399,0.543911682,0.938670781,0.769169267,0.56581744,0.838744927,0.403017476,0.960836241,0.210666874,0.686181406,0.369486668,0.092242396,0.298067339,0.609324275,0.534917303,N/A,English,USA,N/A,2007,Action,,550,Matt Kaminsky, Erin Matthews,7849,0.180532552,0.802076574,0.918219841,3.261307173,5.7
Notorious,0.015084282,0.110779458,0.06049915,0.853384736,0.23696833,0.279136054,0.339000576,0.672635501,0.761693451,0.230270689,0.601446475,0.035321297,0.243702439,0.068479979,0.610289635,0.315046502,0.860002293,0.130446089,0.141920507,0.741486023,0.974080067,0.917106107,0.921183031,0.722318977,0.885625835,0.199021641,0.235353715,0.037057028,0.94594389,0.619043639,APPROVED,"English, French, Portuguese",USA,Alfred Hitchcock,1946,"Drama, Film-Noir, Romance",101,"74,609",Cary Grant, Ingrid Bergman,19429,0.136702867,1.111483655,0.948821684,3.259972207,8
Barbie in Rock 'N Royals,0.727860747,0.951715612,0.239528303,0.476663172,0.4142118,0.095970287,0.309010091,0.76915566,0.211667476,0.934014564,0.996356166,0.109290058,0.788952697,0.301647919,0.480068337,0.884502804,0.566480007,0.975179183,0.814913087,0.270152855,0.890395919,0.581364258,0.929339796,0.231614734,0.948305556,0.315767633,0.049372708,0.411892829,0.81553248,0.594240209,N/A,N/A,N/A,Karen J. Lloyd,2015,"Animation, Family",84,298,Kelly Sheridan, Chiara Zanni,9328,0.151479417,0.852832186,0.961111131,3.301457976,5.7
In Search of a Midnight Kiss,0.483727629,0.806756285,0.382648083,0.246522377,0.259720184,0.055945148,0.113611801,0.431192987,0.299538813,0.601590436,0.952170506,0.260813523,0.71333666,0.528958696,0.66764922,0.655421503,0.497710162,0.98291381,0.637319254,0.235173098,0.709643166,0.514213928,0.774839027,0.124163926,0.739288874,0.611896616,0.147657222,0.145010648,0.735045306,0.554661681,N/A,English,USA,Alex Holdridge,2007,"Comedy, Romance",90,"7,227",Scoot McNairy, Sara Simmonds,15622,0.119254897,0.770288397,0.897096972,3.049929586,7.3
Conquest of the Planet of the Apes,0.504192163,0.673265242,0.485249208,0.437480293,0.55186838,0.289974354,0.378838299,0.475007625,0.066264332,0.883822821,0.9446966,0.130218668,0.484902736,0.147624959,0.270779383,0.978140879,0.217151752,0.820516317,0.620850459,0.619451414,0.769158732,0.00989063,0.996230206,0.385736732,0.700487785,0.592891694,0.147945472,0.286674745,0.051581978,0.846023045,PG,English,USA,J. Lee Thompson,1972,"Action, Sci-Fi",88,"23,621",Roddy McDowall, Don Murray,6088,0.221419185,1.078747628,0.956811188,3.534001314,6.1
The Angry Birds Movie,0.463010228,0.932232043,0.123930386,0.781219101,0.384985753,0.042932561,0.135632933,0.754102373,0.16761993,0.916848452,0.990489695,0.026892333,0.433814386,0.129252206,0.3705743,0.671175561,0.637965706,0.981641006,0.509733148,0.205924679,0.972539742,0.702674398,0.768449143,0.09059812,0.840009063,0.201140256,0.041541745,0.265504524,0.822931904,0.468027181,PG,English,"USA, Finland","Clay Kaytis, Fergal Reilly",2016,"Animation, Action, Comedy",97,"39,952",Jason Sudeikis, Josh Gad,12762,0.145666823,1.092105263,0.942511584,2.953377214,6.3
Snakes on a Plane,0.303498368,0.679141738,0.07969821,0.844878699,0.468134245,0.254148185,0.316296447,0.86646597,0.365778876,0.777204527,0.958421249,0.027064384,0.403118952,0.099483487,0.335958382,0.336337649,0.809343068,0.874916505,0.290884193,0.468786687,0.962018293,0.704726664,0.826906357,0.169081452,0.690114615,0.146809513,0.092552989,0.173882855,0.890379963,0.295998068,R,English,"Germany, USA, Canada",David R. Ellis,2006,"Action, Adventure, Crime",105,"116,536",Samuel L. Jackson, Julianna Margulies,12515,0.142229325,1.004136029,0.97073027,3.077986416,5.6
In the Land of Blood and Honey,0.54740566,0.667897486,0.149040928,0.575679657,0.612562582,0.293437968,0.526887731,0.813574943,0.143554404,0.829921546,0.992272542,0.071324912,0.732808974,0.171307132,0.316508407,0.89388035,0.661404081,0.964629195,0.765206899,0.689584982,0.896297797,0.427965264,0.921411873,0.152777729,0.752174681,0.311937962,0.122987667,0.154756381,0.637815777,0.290897074,R,"Bosnian, Serbian, Croatian, English",USA,Angelina Jolie,2011,"Drama, Romance, War",127,"31,499",Zana Marjanovic, Goran Kostic,5872,0.198739782,0.796235679,0.909770621,3.257152589,4.3
Year One,0.424066083,0.800402032,0.387939789,0.425962441,0.272985152,0.058462398,0.130746364,0.385923033,0.222306694,0.755519662,0.979473774,0.100195096,0.725860601,0.334184765,0.649688305,0.871047753,0.30628864,0.976238918,0.7317206,0.268718867,0.881428341,0.272948079,0.968649502,0.34800464,0.921195381,0.493519008,0.061474867,0.154251381,0.565430202,0.614833271,PG-13,English,USA,Harold Ramis,2009,"Adventure, Comedy",97,"77,435",Jack Black, Michael Cera,16407,0.12183824,0.711748208,0.918058616,3.079478271,4.9
The Amityville Haunting,0.505369089,0.847663673,0.28911367,0.35966993,0.286519788,0.04009997,0.093936389,0.571672117,0.137530898,0.818673826,0.961637337,0.208516118,0.582744405,0.351773216,0.547418646,0.747824691,0.565390262,0.989800828,0.615025423,0.232593215,0.487350311,0.619173712,0.537624816,0.030632235,0.446997727,0.472868117,0.103339934,0.130186175,0.684394496,0.310841342,NOT RATED,English,USA,Geoff Meed,2011,Horror,86,"1,751",Luke Barnett, Casey Campbell,11807,0.096129415,6.636792453,0.94513576,3.119590074,2.8
In Search of the Castaways,0.627148399,0.838633148,0.227429347,0.679636764,0.493387832,0.28800008,0.289243141,0.552504131,0.230890567,0.842323521,0.979883485,0.068471285,0.779154486,0.119150079,0.406274686,0.969980273,0.575632661,0.897442178,0.842420227,0.449870173,0.832161554,0.327766105,0.984705629,0.462075745,0.903819975,0.34288884,0.078856562,0.345130485,0.535555144,0.503748441,APPROVED,"English, French",USA,Robert Stevenson,1962,"Adventure, Family, Fantasy",98,"2,026",Maurice Chevalier, Hayley Mills,11932,0.146915857,1.143939394,0.946943638,3.200720751,6.7
Plunder Road,0.514009486,0.677271271,0.111740133,0.766394442,0.52593148,0.371092697,0.348218762,0.67948732,0.14355642,0.906274511,0.969130075,0.010449781,0.220212818,0.033182656,0.385601716,0.501444369,0.620014093,0.743516066,0.308710397,0.597417823,0.787224676,0.516503896,0.881006411,0.084577095,0.231296055,0.240650322,0.078359064,0.245769808,0.475883297,0.349388319,APPROVED,"English, German",USA,Hubert Cornfield,1957,"Crime, Film-Noir, Drama",72,489,Gene Raymond, Jeanne Cooper,5168,0.223103715,0.998940678,0.968716549,3.364357585,6.8
Now and Then,0.819754529,0.918596975,0.336757959,0.35968216,0.595896654,0.166598937,0.259599539,0.729690858,0.071887033,0.929203024,0.997099076,0.143641381,0.836409012,0.323636303,0.283780226,0.965982706,0.39054654,0.993418905,0.904056666,0.45762001,0.623219987,0.133102572,0.952045976,0.148952642,0.794380333,0.344212256,0.055429201,0.16479671,0.547065302,0.380073289,PG-13,English,USA,Lesli Linka Glatter,1995,"Comedy, Drama, Romance",100,"21,631",Christina Ricci, Rosie O'Donnell,8416,0.195223384,0.910860013,0.934539342,3.292419202,6.7
Viva Las Vegas,0.747594106,0.921291888,0.03900378,0.78570504,0.625130601,0.278618157,0.401699049,0.926690308,0.153247618,0.919819136,0.998336175,0.003738346,0.500381266,0.044674003,0.45258975,0.627755791,0.879611581,0.949794606,0.635799254,0.528890204,0.940778324,0.781430564,0.821057483,0.022007373,0.59945053,0.06152592,0.015691228,0.357801835,0.897636389,0.148624124,APPROVED,English,USA,George Sidney,1964,"Comedy, Musical",85,"4,951",Elvis Presley, Ann-Margret,6664,0.171518607,0.841853035,0.915583313,3.120498199,6.4
Sniper: Ghost Shooter,0.719332872,0.669137679,0.195707472,0.644088156,0.763603443,0.648441126,0.646186855,0.800961609,0.072382683,0.849774233,0.946097596,0.043829412,0.408994284,0.057477212,0.061057151,0.918607492,0.511267884,0.727370636,0.644848377,0.837512651,0.864584257,0.068038353,0.992776252,0.183610886,0.585712942,0.26122483,0.170700834,0.280924046,0.215938813,0.353078214,R,English,USA,Don Michael Paul,2016,"Action, Drama, War",99,682,Billy Zane, Chad Michael Collins,6854,0.238255034,1.295302013,0.914196395,3.646046104,5.3
Jaatishwar,0.290625589,0.402819768,0.606018121,0.112067921,0.319049067,0.313306411,0.517027725,0.07894216,0.459203779,0.270710416,0.662206198,0.711475989,0.936448559,0.709509969,0.491442026,0.994567898,0.525805628,0.612974034,0.907067142,0.497004051,0.656482922,0.189695338,0.985518225,0.891063349,0.926896921,0.842477869,0.723411799,0.415321441,0.307701276,0.782544326,N/A,"Bengali, Gujarati, Portuguese, English",India,Srijit Mukherji,2014,"Biography, Drama, History",150,"1,419",Prasenjit Chatterjee, Jishu Sengupta,15241,0.171445443,1.413360324,0.95012423,3.605340857,8.1
In Secret,0.627438095,0.876493928,0.399720338,0.389342018,0.392248089,0.094191877,0.147117535,0.437241756,0.231086087,0.783904939,0.993234585,0.324763866,0.924402155,0.613909035,0.506488992,0.951133388,0.309130078,0.996801246,0.85770523,0.190224105,0.602555141,0.171166716,0.821454379,0.333812469,0.845031667,0.649736455,0.19242512,0.134372779,0.640849929,0.294383838,R,English,USA,Charlie Stratton,2013,"Crime, Drama, Thriller",107,"5,446",Elizabeth Olsen, Oscar Isaac,8452,0.162683389,0.745098039,0.938838101,3.132394699,6.1
Maniac,0.966856891,0.974478897,0.306116802,0.413324703,0.789485308,0.310137268,0.474713203,0.939404415,0.04970813,0.980919291,0.999931317,0.049398349,0.846037519,0.17934991,0.1560481,0.944389296,0.193017061,0.996620677,0.920573596,0.589710417,0.913317861,0.023464137,0.995865247,0.197334766,0.897036268,0.202224351,0.006809729,0.118823766,0.460377019,0.394344261,NOT RATED,English,"France, USA",Franck Khalfoun,2012,"Horror, Thriller",89,"27,652",Nora Arnezeder, Brian Ames,2619,0.227567774,0.581981982,0.935443184,3.226804124,6.1
Yelling to the Sky,0.250218835,0.592944583,0.090873848,0.758941794,0.329407531,0.221966101,0.227715122,0.78849261,0.458561682,0.60184656,0.953154205,0.050639044,0.377655824,0.137758389,0.422401641,0.285149748,0.845255629,0.920928627,0.372884085,0.515966349,0.921075618,0.870198231,0.486091951,0.048528773,0.453853707,0.230197027,0.144071403,0.063610242,0.902708979,0.118259669,N/A,English,USA,Victoria Mahoney,2011,Drama,94,612,Maurice Compte, Zoí‚ Kravitz,5726,0.180230527,0.828082808,0.953283781,3.04051694,5.9
American Psycho II: All American Girl,0.755075017,0.821458058,0.349095183,0.236440488,0.674658506,0.318671884,0.392401123,0.710012703,0.136615303,0.84319713,0.98510269,0.225814291,0.802413262,0.414726541,0.541578249,0.908602307,0.609527326,0.947464329,0.83044262,0.532549921,0.493694595,0.244924108,0.922772116,0.11785007,0.614178902,0.386012908,0.212783628,0.259627332,0.621991863,0.527863907,R,English,USA,Morgan J. Freeman,2002,"Horror, Thriller",88,"12,319",Mila Kunis, William Shatner,10406,0.175763982,0.947994056,0.939613422,3.430809149,3.9
Darkroom,0.372965178,0.749457082,0.238460435,0.338459694,0.431295388,0.089756888,0.275324849,0.565980913,0.416665531,0.391323785,0.981985258,0.275410751,0.855977442,0.627851725,0.43584471,0.864117349,0.663989821,0.995337011,0.826829604,0.336874944,0.872391767,0.621513168,0.793154817,0.195162672,0.792451744,0.669837484,0.324201655,0.067126052,0.904666461,0.148253524,R,English,USA,Britt Napier,2013,Thriller,81,993,Elisabeth Rí_hm, Kaylee DeFer,4002,0.188905547,0.79,0.945229164,3.055722139,3.7
Kiss Me Deadly,0.38437246,0.558267042,0.182193338,0.500265343,0.283807776,0.177222472,0.133316362,0.393482305,0.249255243,0.45626791,0.95437986,0.100831729,0.690222217,0.202458929,0.534587738,0.848353338,0.542011182,0.862434761,0.762950308,0.524355878,0.624410057,0.451266795,0.877938478,0.286640825,0.572407582,0.42342446,0.292767594,0.063490678,0.576907607,0.20896839,APPROVED,"English, Italian, Spanish",USA,Robert Aldrich,1955,"Crime, Film-Noir, Mystery",106,"14,113",Ralph Meeker, Albert Dekker,10425,0.154340528,0.855599214,0.921558885,3.188201439,7.7
Underbelly Files: Tell Them Lucifer Was Here,0.284662036,0.392497173,0.167940341,0.460754446,0.346672463,0.213302817,0.216532944,0.410073072,0.160456229,0.617753387,0.840041242,0.060853461,0.313540984,0.099903037,0.570792706,0.672734231,0.572923792,0.701405574,0.344514286,0.581254713,0.604280896,0.474991157,0.88758377,0.14872738,0.195549496,0.436297449,0.374889935,0.125018369,0.273112952,0.390376842,N/A,English,Australia,Shawn Seet,2011,"Crime, Drama",,229,Brett Climo, Greg Stone,11880,0.180387205,1.106382979,0.958002706,3.378872054,6.8
Underclassman,0.205383231,0.383502751,0.03950525,0.796714694,0.492354493,0.450187118,0.404510918,0.847543334,0.467932059,0.582674814,0.832893039,0.017179719,0.189509356,0.050175036,0.482529338,0.263438009,0.939159213,0.430335966,0.204905535,0.721647723,0.916020929,0.914098165,0.779461995,0.139074002,0.400586496,0.083053586,0.165766475,0.170708245,0.898063247,0.240382426,PG-13,English,USA,Marcos Siega,2005,"Action, Comedy, Crime",95,"4,895",Nick Cannon, Adrian Young,13416,0.154516995,1.258936356,0.914027726,2.975700656,4.1
Snow Day,0.463106095,0.611789729,0.20288448,0.82003891,0.321230885,0.324488238,0.14620183,0.602134803,0.332757709,0.578767429,0.892628449,0.154472855,0.526585621,0.282039426,0.397201961,0.555666279,0.629858199,0.946357292,0.580942299,0.473860102,0.523923237,0.679519992,0.655649754,0.229245766,0.488680045,0.333879446,0.448311063,0.099254331,0.602357736,0.137809791,PG,English,USA,Chris Koch,2000,"Adventure, Comedy, Family",89,"9,346",Chris Elliott, Mark Webber,8711,0.174721616,1.156664561,0.954550737,3.189186087,4.9
The Adventures of Robin Hood,0.499133978,0.586523003,0.246231802,0.455965785,0.552325786,0.332850159,0.341124787,0.452228232,0.245603648,0.616922159,0.970733555,0.131737017,0.886132015,0.204039999,0.438080815,0.992303417,0.526047014,0.920366244,0.897652411,0.540459084,0.582331909,0.2025833,0.984981266,0.465160744,0.788151102,0.515725741,0.28369493,0.190157785,0.553367077,0.322282469,PG,English,USA,"Michael Curtiz, William Keighley",1938,"Action, Adventure, Romance",102,"38,945",Errol Flynn, Olivia de Havilland,12037,0.155105093,1.061479347,0.939453826,3.338954889,8
Sniper 2,0.432906342,0.431836227,0.270881041,0.458320579,0.408508542,0.337829388,0.374121871,0.428158314,0.217136374,0.586991484,0.872898581,0.096693162,0.559053588,0.1473363,0.3050084,0.857846184,0.471907875,0.715495146,0.593515419,0.679701184,0.743534439,0.224979429,0.982495302,0.356781022,0.612012848,0.497211989,0.217407927,0.192269738,0.273712764,0.44948771,R,"English, Hungarian","USA, Hungary",Craig R. Baxley,2002,"Action, War",91,"4,619",Tom Berenger, Bokeem Woodbine,5913,0.220700152,0.968864469,0.880520124,3.382716049,5.2
Kismet,0.507871756,0.599741604,0.538206092,0.478311448,0.468010603,0.391682347,0.317691728,0.313174703,0.325945069,0.591917464,0.915518221,0.348808483,0.929779279,0.437995559,0.377258076,0.9906049,0.290542554,0.77585478,0.90488264,0.458942426,0.51192247,0.029557791,0.996794535,0.875944493,0.977164072,0.613695876,0.386930711,0.255530701,0.329415267,0.537107587,APPROVED,English,USA,"Vincente Minnelli, Stanley Donen",1955,"Adventure, Musical, Fantasy",113,"1,016",Howard Keel, Ann Blyth,13798,0.17611248,1.275118586,0.947308773,3.49949268,6.4
Under the Shadow,0.592406088,0.677885898,0.541485379,0.178978213,0.308382549,0.132785443,0.156592469,0.355116637,0.169417962,0.549450979,0.980280763,0.444580651,0.778388541,0.658022895,0.450319535,0.804380509,0.254546545,0.993817612,0.807764259,0.385699694,0.490729354,0.175467849,0.68889758,0.134871327,0.405246265,0.810503454,0.417942227,0.038629229,0.358930819,0.110227351,PG-13,Persian,"UK, Jordan, Qatar, Iran",Babak Anvari,2016,"Horror, Thriller",84,511,Narges Rashidi, Avin Manshadi,6030,0.166334992,0.683728037,0.912847504,3.255389718,7.5
Snitch,0.438632451,0.556347554,0.081325697,0.523282174,0.527720597,0.34199891,0.380049716,0.814158796,0.242810719,0.649574048,0.974175171,0.019989134,0.468407775,0.083365028,0.328838773,0.574673497,0.781701781,0.8904677,0.559217207,0.760036572,0.898504671,0.631022075,0.874065692,0.049829357,0.30511392,0.230914432,0.091615248,0.090005569,0.819206729,0.119656145,PG-13,"English, Spanish","USA, United Arab Emirates",Ric Roman Waugh,2013,"Action, Drama, Thriller",112,"65,463",Dwayne Johnson, Barry Pepper,10960,0.138229927,0.765225066,0.962425297,3.166788321,6.5
Revenge of the Bridesmaids,0.572255361,0.842648568,0.524279063,0.274808649,0.387166979,0.059588351,0.15958913,0.482554839,0.123642579,0.88731055,0.978865358,0.269806333,0.691054037,0.582453325,0.733454026,0.790324837,0.29289031,0.974892432,0.529412684,0.169669107,0.5665157,0.249784589,0.782944929,0.102349609,0.734344064,0.632472724,0.221469754,0.162882493,0.520620524,0.714023601,N/A,English,USA,James Hayman,2010,"Comedy, Romance",95,"4,577",Raven-Symoní©, JoAnna Garcia Swisher,9925,0.182367758,0.859007833,0.969845007,3.242518892,6.1
Zappa,0.423492788,0.69722594,0.178536799,0.532449511,0.366342509,0.286319085,0.270951855,0.622011554,0.238562791,0.707317835,0.964061214,0.066368374,0.441733524,0.145510063,0.639064787,0.569343917,0.671764449,0.844860854,0.550389747,0.59062492,0.823102329,0.629835524,0.676522692,0.072537391,0.379329687,0.291720861,0.151526718,0.189836161,0.577794502,0.270460344,N/A,Danish,Denmark,Bille August,1983,"Comedy, Drama, Romance",103,"1,777",Adam TíŸnsberg, Peter Reichhardt,6362,0.18091795,0.893964111,0.92925733,3.088808551,7.4
White Noise 2: The Light,0.505671422,0.751308491,0.490131518,0.356417887,0.236362438,0.04473262,0.082443373,0.270596629,0.150973542,0.702484072,0.977347421,0.164488305,0.747496527,0.422085869,0.482883349,0.924172681,0.266972811,0.992248202,0.659730248,0.172555,0.703245797,0.161374249,0.91126314,0.266755938,0.680489074,0.673933897,0.156529533,0.10138903,0.427683206,0.477526397,PG-13,English,"USA, Canada",Patrick Lussier,2007,"Drama, Fantasy, Horror",99,"11,320",Nathan Fillion, Katee Sackhoff,5508,0.195352215,0.808864266,0.927282504,3.114379085,5.7
In the Heart of the Sea,0.735785542,0.739839283,0.172119072,0.761713158,0.719128586,0.616920959,0.535123449,0.844418026,0.143273646,0.9492534,0.945086271,0.03764711,0.569984083,0.046846693,0.139707535,0.972885507,0.604884717,0.84746553,0.753587511,0.690631474,0.768737427,0.141708578,0.995127651,0.32423508,0.838595683,0.306255517,0.091851938,0.290627391,0.406863181,0.434879967,PG-13,English,"USA, Australia, Spain, UK, Canada",Ron Howard,2015,"Action, Adventure, Biography",122,"77,170",Chris Hemsworth, Benjamin Walker,8406,0.197953842,1.317914831,0.944379195,3.333571259,6.9
Please Kill Mr. Know It All,0.592964985,0.820983339,0.375920362,0.235067753,0.338461801,0.086703018,0.150220129,0.401949114,0.20146734,0.637723639,0.977288627,0.157211738,0.722526971,0.382796775,0.545066135,0.810291336,0.414087076,0.985839856,0.810012515,0.361658936,0.779583498,0.357807919,0.914044432,0.193118194,0.704093055,0.531264832,0.083623361,0.139838526,0.612924989,0.443314572,N/A,English,Canada,"Colin Carter, Sandra Feldman",2012,"Comedy, Crime, Romance",87,151,Lara Jean Chorostecki, Jefferson Brown,10550,0.141800948,0.739310345,0.920565687,3.156682464,4.6
Queen Christina,0.813346334,0.802635484,0.245489967,0.34294075,0.80020126,0.5445466,0.794670312,0.799705737,0.267843993,0.76075928,0.989040439,0.166668017,0.967326901,0.259013209,0.287623482,0.998912442,0.686316282,0.902756545,0.98452735,0.67597544,0.797561834,0.110686291,0.9988958,0.59871882,0.993380277,0.375328709,0.087263556,0.557897691,0.761836526,0.602912738,APPROVED,"English, Spanish",USA,Rouben Mamoulian,1933,"Biography, Drama, History",99,"5,623",Greta Garbo, John Gilbert,9835,0.168581596,1.030653557,0.945577057,3.477885104,7.9
Manhattan Murder Mystery,0.584136578,0.879646824,0.415503951,0.301247101,0.287910515,0.048880801,0.060979843,0.507908736,0.107721325,0.830532729,0.988775767,0.135735538,0.672264307,0.337142907,0.697897132,0.804969817,0.311827834,0.98353329,0.680131016,0.233623087,0.572615352,0.23211397,0.860435171,0.099992919,0.662240336,0.441781532,0.116183965,0.088750505,0.531434205,0.507343352,PG,English,USA,Woody Allen,1993,"Comedy, Mystery",104,"28,714",Woody Allen, Diane Keaton,18039,0.114695937,0.671506849,0.962993789,3.019457841,7.4
Operation Amsterdam,0.753327288,0.748131981,0.083535391,0.564533498,0.767648819,0.602048598,0.716182371,0.880154974,0.14716788,0.869000007,0.996448985,0.02401599,0.674910708,0.063296943,0.199107533,0.936146161,0.764739722,0.940931893,0.865835185,0.816435621,0.850625393,0.506418935,0.949285799,0.102655047,0.483553503,0.277233424,0.082589269,0.331644548,0.653775675,0.175904849,N/A,English,UK,Michael McCarthy,1959,"Drama, History, War",104,448,Peter Finch, Eva Bartok,6959,0.164822532,0.847719298,0.915899238,3.352924271,6.4
Gigantic,0.420804363,0.891246242,0.187105239,0.567857001,0.380422796,0.067929678,0.157657925,0.628631665,0.151891133,0.804495017,0.978749306,0.053881835,0.402439524,0.227310301,0.647186964,0.622822369,0.658967201,0.958816281,0.461219202,0.292322839,0.846428216,0.590713839,0.791371056,0.040711035,0.630494801,0.278792782,0.072925475,0.21704395,0.699607591,0.518142667,R,"English, French",USA,Matt Aselton,2008,"Comedy, Drama, Romance",98,"8,448",Paul Dano, Zooey Deschanel,10700,0.170186916,0.979876161,0.954899878,3.209626168,6.1
Gift,0.56283265,0.749058112,0.417785148,0.244529188,0.30162781,0.14911401,0.156733072,0.358555386,0.250670252,0.579944579,0.972307505,0.203149198,0.759696257,0.475151134,0.489599052,0.823114595,0.3200455,0.977351065,0.837850984,0.475901817,0.732890664,0.289421856,0.874039121,0.110423527,0.47458284,0.587976573,0.135660278,0.088084802,0.517765827,0.337799472,N/A,English,USA,"Perry Farrell, Casey Niccoli",1993,"Documentary, Music",80,224,Eric Avery, Sherri Durell,6750,0.179407407,0.664174031,0.94067263,3.334074074,7.4
Revenge of the Ninja,0.273040933,0.445821991,0.138437267,0.577700031,0.285712987,0.145444442,0.25874011,0.565920843,0.331879864,0.355209564,0.937949738,0.052403493,0.532489203,0.147150092,0.569150598,0.508024713,0.677809648,0.932112098,0.492428541,0.582288674,0.91693038,0.641281151,0.887342898,0.234316132,0.486709438,0.447284792,0.219786859,0.063737492,0.618700904,0.169830124,R,English,USA,Sam Firstenberg,1983,"Action, Crime, Drama",90,"3,237",ShíÇ Kosugi, Keith Vitali,4119,0.219470745,0.750281215,0.921491418,3.243505705,6.1
Kiss of the Damned,0.651154702,0.925598258,0.424961919,0.229307962,0.409898308,0.092937492,0.23399152,0.516080505,0.20730711,0.710686664,0.994067561,0.23283364,0.893718835,0.554858141,0.582443786,0.931945045,0.385322376,0.995092233,0.862538994,0.305025394,0.834419979,0.291582329,0.933664403,0.237277614,0.874690971,0.65757722,0.080862468,0.172782823,0.639048112,0.592923707,R,English,USA,Xan Cassavetes,2012,"Drama, Horror, Romance",97,"3,661",Josí©phine de La Baume, Milo Ventimiglia,6107,0.179793679,0.61358656,0.92793336,3.234157524,5.6
White Reindeer,0.541978217,0.926780756,0.51266263,0.738237631,0.189296197,0.007379172,0.164513721,0.449580369,0.140456235,0.917838642,0.958668821,0.240964468,0.476778871,0.687902857,0.353350077,0.762256465,0.272333447,0.998443427,0.402046805,0.049583177,0.668317373,0.314961146,0.504083842,0.241340434,0.906116016,0.565198435,0.159054458,0.199230775,0.699380281,0.325673457,UNRATED,English,USA,Zach Clark,2013,"Comedy, Drama",82,871,Anna Margaret Hollyman, Laura Lemar-Goldsborough,11688,0.106861739,1.295477903,0.988528242,3.150924025,5.7
Viva Zapatero!,0.433638522,0.313253401,0.682666889,0.208861642,0.391257217,0.435080795,0.345890036,0.126712294,0.11847518,0.740046,0.436100903,0.490560104,0.478176595,0.364249999,0.263050761,0.988001689,0.082103186,0.270896375,0.665132964,0.822042883,0.433191458,0.022684001,0.99927615,0.577247282,0.772387392,0.815469874,0.588816128,0.282383013,0.006109194,0.964636369,N/A,"Italian, English, French, Dutch",Italy,Sabina Guzzanti,2005,Documentary,80,856,Francesco Alberoni, Lucia Annunziata,8862,0.210787633,1.145676146,0.932381727,3.915030467,7.2
Fantozzi alla riscossa,0.44993944,0.622872311,0.350111679,0.321464105,0.363337718,0.247392434,0.302117207,0.392843668,0.221057458,0.584086972,0.938394399,0.212931869,0.815737676,0.343124349,0.587042018,0.931316095,0.427680146,0.787327147,0.818118531,0.58922339,0.713277597,0.192794138,0.98085025,0.371623295,0.764672751,0.450556204,0.330892617,0.208415345,0.34747645,0.630108239,N/A,Italian,Italy,Neri Parenti,1990,Comedy,105,939,Paolo Villaggio, Milena Vukotic,8938,0.179570374,0.875156055,0.937130519,3.28138286,5.8
Darkness Falls,0.480582845,0.496406247,0.303542021,0.558322938,0.259284397,0.164884901,0.133518617,0.564374197,0.33574243,0.638535247,0.90545793,0.239732459,0.685862656,0.359618617,0.568217488,0.606506499,0.546885303,0.978509268,0.493373041,0.345488594,0.343255349,0.544618536,0.724588707,0.19135835,0.387549079,0.525470269,0.362686432,0.038034356,0.672753008,0.135409887,PG-13,English,"USA, Australia",Jonathan Liebesman,2003,"Horror, Mystery, Thriller",86,"25,951",Chaney Kley, Emma Caulfield,5472,0.177266082,0.928769658,0.920134138,3.169042398,4.9
